							Percentage Noise						
316	pyro	mjan	0.002211125	0.001686503	0.016680581	0.047193359	0.093224836	0.154775013	0.23184389	0.324431466	0.432537742	0.556162718	0.695306393
316	pyro	cpneuJ	0.397921205	0.516810344	0.651218183	0.801144721	0.966589959	1.147553896	1.344036534	1.556037871	1.783557907	2.026596643	2.285154079
316	pyro	tacid	0.001194627	0.015043008	0.044410087	0.089295867	0.149700346	0.225623525	0.317065404	0.424025982	0.54650526	0.684503238	0.838019915
316	pyro	hpyl	0.235037392	0.328205111	0.43689153	0.561096648	0.700820466	0.856062983	1.0268242	1.213104117	1.414902734	1.63222005	1.865056066
316	pyro	pabyssi	0.0004506	0.004470329	0.024008757	0.059065884	0.109641712	0.175736239	0.257349466	0.354481392	0.467132018	0.595301344	0.738989369
316	pyro	aquae	0.353741427	0.466279937	0.594337146	0.737913054	0.897007663	1.071620971	1.261752978	1.467403686	1.688573093	1.925261199	2.177468006
316	pyro	tvol	0.003141074	0.020773921	0.053925468	0.102595715	0.166784661	0.246492307	0.341718653	0.452463698	0.578727443	0.720509887	0.877811032
316	pyro	smel	0.254769496	0.351450117	0.463649438	0.591367458	0.734604178	0.893359598	1.067633718	1.257426537	1.462738055	1.683568274	1.919917192
316	pyro	cpneuA	0.406098744	0.526123971	0.661667897	0.812730523	0.979311848	1.161411873	1.359030598	1.572168022	1.800824146	2.04499897	2.304692494
316	pyro	mpneu	0.505937523	0.639005333	0.787591843	0.951697053	1.131320962	1.326463571	1.537124879	1.763304887	2.005003595	2.262221003	2.53495711
316	pyro	atum_D	0.26126329	0.359070033	0.472395475	0.601239617	0.745602459	0.905484001	1.080884242	1.271803183	1.478240824	1.700197164	1.937672204
316	pyro	cglu	0.316076103	0.422879364	0.545201324	0.683041984	0.836401343	1.005279402	1.189676161	1.38959162	1.605025778	1.835978636	2.082450193
316	pyro	ecoli	0.234297506	0.327330688	0.43588257	0.559953151	0.699542432	0.854650413	1.025277094	1.211422474	1.413086554	1.630269333	1.862970813
316	pyro	cace	0.237525889	0.331144555	0.44028192	0.564937985	0.70511275	0.860806215	1.032018379	1.218749243	1.420998806	1.63876707	1.872054033
316	pyro	linn	0.22552328	0.316944513	0.423884447	0.546343079	0.684320412	0.837816444	1.006831176	1.191364607	1.391416738	1.606987569	1.838077099
316	pyro	mthe	0.001784434	0.016985655	0.047705576	0.093944197	0.155701517	0.232977537	0.325772257	0.434085676	0.557917795	0.697268614	0.852138133
316	pyro	ccre	0.286887975	0.389007366	0.506645457	0.639802247	0.788477737	0.952671926	1.132384816	1.327616405	1.538366693	1.764635681	2.006423369
316	pyro	buch	0.27687217	0.377329784	0.493306097	0.62480111	0.771814823	0.934347235	1.112398347	1.305968159	1.515056671	1.739663882	1.979789793
316	pyro	synecho	0.301010405	0.405424394	0.525357082	0.66080847	0.811778558	0.978267345	1.160274832	1.357801019	1.570845906	1.799409492	2.043491777
316	pyro	mtub	0.360010066	0.473472892	0.602454418	0.746954643	0.906973568	1.082511193	1.273567518	1.480142542	1.702236266	1.939848689	2.192979813
316	pyro	saur_n315	0.226760717	0.318411161	0.425580305	0.548268148	0.686474691	0.840199934	1.009443876	1.194206518	1.39448786	1.610287901	1.841606643
316	pyro	mgen	0.52324404	0.658437032	0.809148723	0.975379113	1.157128204	1.354395994	1.567182484	1.795487673	2.039311562	2.298654151	2.573515439
316	pyro	mlot	0.26497744	0.363421987	0.477385233	0.606867178	0.751867824	0.912387169	1.088425214	1.279981958	1.487057402	1.709651546	1.947764389
316	pyro	bmel	0.268336728	0.367354301	0.481890574	0.611945546	0.757519218	0.91861159	1.095222661	1.287352432	1.495000903	1.718168073	1.956853943
316	pyro	ssol	0.211110867	0.145719237	0.095846307	0.061492076	0.042656546	0.039339715	0.051541583	0.079262152	0.12250142	0.181259387	0.255536055
316	pyro	rpxx	0.312460935	0.418696152	0.540450068	0.677722684	0.830514	0.998824016	1.182652731	1.382000145	1.59686626	1.827251074	2.073154588
316	aero	spyo	0.356925231	0.450130434	0.555382769	0.672682236	0.802028834	0.943422565	1.096863427	1.262351421	1.439886546	1.629468803	1.831098193
316	aero	bhal	0.326805854	0.415955241	0.517151761	0.630395412	0.755686195	0.89302411	1.042409157	1.203841335	1.377320645	1.562847087	1.760420661
316	aero	spneu	0.359988794	0.453596316	0.559250971	0.676952757	0.806701675	0.948497725	1.102340907	1.26823122	1.446168665	1.636153242	1.838184951
316	aero	mtub_cdc	0.503960965	0.614789937	0.737666041	0.872589277	1.019559644	1.178577143	1.349641774	1.532753537	1.727912431	1.935118457	2.154371615
316	aero	sent	0.356958277	0.45016783	0.555424514	0.67272833	0.802079278	0.943477358	1.09692257	1.262414913	1.439954388	1.629540994	1.831174733
316	aero	styp	0.355209023	0.448188057	0.553214223	0.670287521	0.799407951	0.940575513	1.093790206	1.259052031	1.436360988	1.625717076	1.827120297
316	aero	paer	0.364684996	0.458905784	0.565173704	0.683488756	0.813850939	0.956260255	1.110716702	1.27722028	1.455770991	1.646368833	1.849013807
316	aero	nmenA	0.401816301	0.500747489	0.611725809	0.734751261	0.869823845	1.01694356	1.176110408	1.347324386	1.530585497	1.72589374	1.933249114
316	aero	uure	0.651209509	0.777174393	0.915186409	1.065245557	1.227351836	1.401505247	1.58770579	1.785953465	1.996248271	2.218590209	2.452979279
316	aero	hinf	0.362099813	0.455983523	0.561914364	0.679892337	0.809917442	0.951989679	1.106109048	1.272275548	1.45048918	1.640749943	1.843057839
316	aero	vcho	0.358612637	0.45203966	0.557513814	0.6750351	0.804603518	0.946219068	1.09988175	1.265591563	1.443348508	1.633152584	1.835003793
316	aero	pmul	0.356693951	0.449868708	0.555090597	0.672359618	0.801675771	0.943039056	1.096449472	1.26190702	1.4394117	1.628963511	1.830562455
316	aero	rsol	0.397976749	0.496431678	0.606933739	0.729482932	0.864079256	1.010722712	1.1694133	1.34015102	1.522935871	1.717767854	1.924646969
316	aero	aero	0	0.006023566	0.024094263	0.054212093	0.096377054	0.150589147	0.216848371	0.295154728	0.385508216	0.487908836	0.602356587
316	aero	bbur	0.510325946	0.621852996	0.745427179	0.881048493	1.028716939	1.188432517	1.360195227	1.544005068	1.739862041	1.947766146	2.167717383
316	aero	hbsp	0.046084343	0.067425009	0.100812807	0.146247736	0.203729798	0.273258991	0.354835315	0.448458772	0.55412936	0.67184708	0.801611932
316	aero	mlep	0.532490692	0.646414262	0.772384964	0.910402798	1.060467763	1.222579861	1.39673909	1.58294545	1.781198943	1.991499567	2.213847323
316	aero	cpneuC	0.546327601	0.661721268	0.789162067	0.928649998	1.080185061	1.243767255	1.419396582	1.607073039	1.806796629	2.018567351	2.242385204
316	aero	ctraM	0.55207097	0.668069204	0.796114569	0.936207067	1.088346696	1.252533457	1.42876735	1.617048374	1.817376531	2.029751819	2.254174239
316	aero	aful	0.031074915	0.030709901	0.042392018	0.066121267	0.101897647	0.149721159	0.209591803	0.281509579	0.365474487	0.461486526	0.569545697
316	aero	ypes	0.354599492	0.447498063	0.552443765	0.669436599	0.798476565	0.939563663	1.092697892	1.257879253	1.435107746	1.624383371	1.825706127
316	aero	stok	0.219915639	0.18305373	0.158238952	0.145471306	0.144750792	0.156077409	0.179451159	0.21487204	0.262340052	0.321855197	0.393417473
316	aero	nmen	0.401517567	0.500411785	0.611353135	0.734341617	0.869377231	1.016459977	1.175589854	1.346766863	1.529991004	1.725262276	1.932580681
316	aero	cper	0.359623761	0.45318344	0.558790251	0.676444194	0.806145269	0.947893475	1.101688814	1.267531283	1.445420885	1.635357619	1.837341484
316	aero	tmar	0.421373885	0.522695069	0.636063384	0.761478831	0.89894141	1.048451121	1.210007964	1.383611938	1.569263044	1.766961281	1.976706651
316	aero	nost	0.430267761	0.532656722	0.647092815	0.77357604	0.912106397	1.062683885	1.225308506	1.399980257	1.586699141	1.785465157	1.996278304
316	aero	llact	0.379885636	0.476063654	0.584288804	0.704561086	0.836880499	0.981247045	1.137660722	1.30612153	1.486629471	1.679184543	1.883786747
316	aero	lmon	0.344564522	0.436127826	0.539738263	0.655395831	0.783100531	0.922852363	1.074651327	1.238497422	1.414390649	1.602331008	1.802318499
316	aero	rcon	0.444798589	0.548907738	0.665064019	0.793267432	0.933517976	1.085815652	1.25016046	1.4265524	1.614991471	1.815477674	2.028011009
316	aero	xfas	0.426796565	0.528770159	0.642790884	0.768858741	0.90697373	1.057135851	1.219345104	1.393601488	1.579905004	1.778255651	1.988653431
316	aero	ecoliO157	0.355110143	0.448076129	0.553089247	0.670149497	0.799256878	0.940411392	1.093613037	1.258861814	1.436157722	1.625500762	1.826890935
316	aero	tpal	0.482133668	0.5905335	0.710980464	0.84347456	0.988015787	1.144604147	1.313239638	1.49392226	1.686652015	1.891428901	2.108252919
316	aero	bsub	0.336456061	0.426925492	0.529442054	0.644005748	0.770616574	0.909274532	1.059979622	1.222731843	1.397531196	1.58437768	1.783271297
316	aero	cjej	0.327753182	0.417033051	0.518360053	0.631734186	0.757155451	0.894623848	1.044139377	1.205702037	1.379311829	1.564968753	1.762672809
316	aero	pyro	0.4075954	0.351965514	0.308382761	0.276847139	0.257358648	0.24991729	0.254523063	0.271175968	0.299876004	0.340623173	0.393417473
316	aero	mpul	0.733992561	0.867697202	1.013448975	1.17124788	1.341093917	1.522987085	1.716927386	1.922914817	2.140949381	2.371031077	2.613159904
316	aero	saur_mu50	0.346253648	0.438043122	0.541879727	0.657763464	0.785694333	0.925672334	1.077697466	1.24176973	1.417889126	1.606055654	1.806269313
316	aero	dra	0.490301826	0.599617207	0.720979719	0.854389364	0.99984614	1.157350048	1.326901088	1.508499259	1.702144562	1.907836997	2.125576564
316	aero	paero	0.00909085	0.029216546	0.061389373	0.105609332	0.161876423	0.230190646	0.310552001	0.402960487	0.507416105	0.623918855	0.752468736
316	aero	hpyl99	0.359424734	0.452958317	0.558539031	0.676166878	0.805841856	0.947563966	1.101333208	1.267149581	1.445013087	1.634923724	1.836881493
316	aero	mjan	0.061213415	0.052566134	0.055965986	0.071412969	0.098907084	0.138448331	0.19003671	0.25367222	0.329354862	0.417084636	0.516861541
316	aero	cpneuJ	0.547956565	0.663522034	0.791134634	0.930794366	1.08250123	1.246255226	1.422056354	1.609904613	1.809800004	2.021742526	2.245732181
316	aero	tacid	0.036467298	0.052799784	0.081179401	0.121606151	0.174080032	0.238601045	0.31516919	0.403784466	0.504446875	0.617156415	0.741913087
316	aero	hpyl	0.356231626	0.449345492	0.554506489	0.671714619	0.80096988	0.942272273	1.095621798	1.261018454	1.438462242	1.627953162	1.829491214
316	aero	pabyssi	0.370693615	0.31696505	0.275283617	0.245649315	0.228062145	0.222522106	0.2290292	0.247583425	0.278184782	0.32083327	0.375528891
316	aero	aquae	0.496655901	0.606678059	0.728747349	0.862863771	1.009027325	1.16723801	1.337495828	1.519800776	1.714152857	1.92055207	2.138998414
316	aero	tvol	0.040804043	0.060439898	0.092122885	0.135853004	0.191630254	0.259454637	0.339326151	0.431244797	0.535210574	0.651223483	0.779283525
316	aero	smel	0.379902706	0.476082899	0.584310223	0.70458468	0.836906268	0.981274988	1.13769084	1.306153823	1.486663938	1.679221185	1.883825564
316	aero	cpneuA	0.557407986	0.673965118	0.802569381	0.943220777	1.095919304	1.260664963	1.437457754	1.626297676	1.82718473	2.040118916	2.265100234
316	aero	mpneu	0.671871261	0.799812947	0.939801765	1.091837715	1.255920797	1.43205101	1.620228356	1.820452832	2.032724441	2.257043182	2.493409054
316	aero	atum_D	0.387659207	0.484822364	0.594032653	0.715290074	0.848594626	0.993946311	1.151345127	1.320791075	1.502284154	1.695824365	1.901411709
316	aero	cglu	0.45255971	0.557575709	0.674638839	0.803749102	0.944906496	1.098111022	1.26336268	1.440661469	1.630007391	1.831400444	2.044840629
316	aero	ecoli	0.355340885	0.448337317	0.553380881	0.670471577	0.799609404	0.940794363	1.094026454	1.259305677	1.436632031	1.626005517	1.827426135
316	aero	cace	0.359225764	0.452733251	0.558287869	0.675889619	0.805538501	0.947234515	1.10097766	1.266767937	1.444605346	1.634489887	1.836421559
316	aero	linn	0.3447592	0.436348601	0.539985134	0.655668799	0.783399595	0.923177524	1.075002584	1.238874775	1.414794099	1.602760554	1.802774141
316	aero	mthe	0.061690735	0.065320444	0.080997285	0.108721258	0.148492362	0.200310598	0.264175966	0.340088466	0.428048097	0.52805486	0.640108755
316	aero	ccre	0.418119614	0.519047177	0.632021871	0.757043698	0.894112656	1.043228746	1.204391968	1.377602321	1.562859807	1.760164424	1.969516173
316	aero	buch	0.406240477	0.505717515	0.617241685	0.740812987	0.87643142	1.024096985	1.183809682	1.355569511	1.539376471	1.735230563	1.943131787
316	aero	synecho	0.434814949	0.537745411	0.652723004	0.779747729	0.918819586	1.069938575	1.233104696	1.408317948	1.595578332	1.794885847	2.006240495
316	aero	mtub	0.503960965	0.614789937	0.737666041	0.872589277	1.019559644	1.178577143	1.349641774	1.532753537	1.727912431	1.935118457	2.154371615
316	aero	saur_n315	0.346253648	0.438043122	0.541879727	0.657763464	0.785694333	0.925672334	1.077697466	1.24176973	1.417889126	1.606055654	1.806269313
316	aero	mgen	0.691560719	0.821357424	0.963201261	1.11709223	1.283030331	1.461015564	1.651047928	1.853127424	2.067254052	2.293427811	2.531648703
316	aero	mlot	0.392088519	0.489808399	0.599575411	0.721389555	0.855250831	1.001159239	1.159114778	1.329117449	1.511167252	1.705264186	1.911408253
316	aero	bmel	0.396090335	0.494310396	0.604577589	0.726891914	0.861253371	1.00766196	1.16611768	1.336620532	1.519170516	1.713767631	1.920411879
316	aero	ssol	0.075909433	0.056959565	0.05005683	0.055201225	0.072392753	0.101631413	0.142917204	0.196250127	0.261630181	0.339057368	0.428531686
316	aero	rpxx	0.448307601	0.552827768	0.669395067	0.798009498	0.938671061	1.091379755	1.256135582	1.432938539	1.621788629	1.822685851	2.035630204
316	stok	spyo	0.342620906	0.434584896	0.538814018	0.65530827	0.784067653	0.925092168	1.078381813	1.24393659	1.421756497	1.611841536	1.814191705
316	stok	bhal	0.313154279	0.401029816	0.501170485	0.613576284	0.738247214	0.875183276	1.024384468	1.185850792	1.359582246	1.545578832	1.743840548
316	stok	spneu	0.345619719	0.437989266	0.542623945	0.659523754	0.788688694	0.930118766	1.083813968	1.249774302	1.427999766	1.618490362	1.821246088
316	stok	mtub_cdc	0.48682024	0.596549819	0.71854453	0.852804371	0.999329343	1.158119446	1.32917468	1.512495046	1.708080542	1.915931169	2.136046927
316	stok	sent	0.342653252	0.434621627	0.538855133	0.65535377	0.784117537	0.925146436	1.078440466	1.243999627	1.421823919	1.611913342	1.814267895
316	stok	styp	0.340941098	0.432677099	0.536678232	0.652944496	0.78147589	0.922272416	1.075334072	1.24066086	1.418252779	1.608109828	1.810232009
316	stok	paer	0.350217221	0.443204969	0.548457848	0.665975858	0.795758998	0.93780727	1.092120673	1.258699207	1.437542872	1.628651668	1.832025594
316	stok	nmenA	0.386590426	0.484326479	0.594327663	0.716593978	0.851125424	0.997922001	1.156983709	1.328310548	1.511902518	1.707759619	1.915881851
316	stok	uure	0.631632784	0.756620075	0.893872498	1.043390051	1.205172735	1.37922055	1.565533496	1.764111574	1.974954782	2.198063121	2.433436591
316	stok	hinf	0.347686288	0.440334245	0.545247333	0.662425552	0.791868901	0.933577382	1.087550994	1.253789737	1.432293611	1.623062616	1.826096751
316	stok	vcho	0.344272612	0.436460207	0.540912933	0.65763079	0.786613777	0.927861896	1.081375146	1.247153527	1.425197039	1.615505682	1.818079455
316	stok	pmul	0.342394526	0.434327825	0.538526256	0.654989818	0.78371851	0.924712334	1.077971288	1.243495374	1.421284591	1.611338938	1.813658417
316	stok	rsol	0.382827524	0.480083485	0.589604578	0.711390801	0.845442155	0.99175864	1.150340256	1.321187004	1.504298882	1.699675891	1.907318031
316	stok	aero	0.219915639	0.180982737	0.154314966	0.139912325	0.137774816	0.147902437	0.17029519	0.204953074	0.251876088	0.311064234	0.38251751
316	stok	bbur	0.493072871	0.603506146	0.726204553	0.86116809	1.008396758	1.167890558	1.339649488	1.52367355	1.719962742	1.928517066	2.14933652
316	stok	hbsp	0.043174968	0.062642514	0.09437519	0.138372998	0.194635937	0.263164006	0.343957207	0.437015538	0.542339001	0.659927595	0.789781319
316	stok	mlep	0.514851917	0.627700997	0.752815208	0.89019455	1.039839022	1.201748626	1.375923361	1.562363227	1.761068224	1.972038352	2.19527361
316	stok	cpneuC	0.528452226	0.642783233	0.769379371	0.90824064	1.05936704	1.222758571	1.398415233	1.586337026	1.78652395	1.998976005	2.223693191
316	stok	ctraM	0.534098295	0.649038733	0.776244303	0.915715004	1.067450835	1.231451798	1.407717891	1.596249116	1.797045472	2.010106958	2.235433576
316	stok	aful	0.03165889	0.029246088	0.039098416	0.061215876	0.095598466	0.142246187	0.20115904	0.272337023	0.355780138	0.451488383	0.559461759
316	stok	ypes	0.340344517	0.431999407	0.535919429	0.652104581	0.780554864	0.921270278	1.074250823	1.2394965	1.417007307	1.606783245	1.808824314
316	stok	stok	0	0.006132565	0.024530262	0.055193089	0.098121048	0.153314137	0.220772358	0.300495709	0.392484192	0.496737805	0.61325655
316	stok	nmen	0.386297642	0.483996427	0.593960344	0.716189392	0.85068357	0.99744288	1.15646732	1.327756892	1.511311595	1.707131428	1.915216393
316	stok	cper	0.345262386	0.437583705	0.542170155	0.659021736	0.788138448	0.929520291	1.083167265	1.24907937	1.427256606	1.617698973	1.820406471
316	stok	tmar	0.40576336	0.505908641	0.618319053	0.742994596	0.879935269	1.029141074	1.19061201	1.364348077	1.550349275	1.748615604	1.959147063
316	stok	nost	0.414485386	0.515707037	0.629193819	0.754945732	0.892962776	1.043244951	1.205792257	1.380604694	1.567682262	1.767024961	1.978632791
316	stok	llact	0.365102861	0.460063589	0.567289448	0.686780438	0.818536558	0.96255781	1.118844193	1.287395707	1.468212352	1.661294128	1.866641034
316	stok	lmon	0.330524447	0.420833326	0.523407337	0.638246478	0.76535075	0.904720154	1.056354688	1.220254354	1.39641915	1.584849078	1.785544136
316	stok	rcon	0.428739364	0.531695045	0.646915858	0.774401801	0.914152875	1.06616908	1.230450416	1.406996884	1.595808482	1.796885211	2.010227071
316	stok	xfas	0.41108104	0.511883981	0.624952053	0.750285256	0.887883589	1.037747054	1.19987565	1.374269377	1.560928235	1.759852224	1.971041343
316	stok	ecoliO157	0.340844318	0.432567166	0.536555146	0.652808256	0.781326497	0.92210987	1.075158373	1.240472008	1.418050773	1.60789467	1.810003697
316	stok	tpal	0.465383893	0.572664785	0.692210808	0.824021962	0.968098246	1.124439662	1.293046209	1.473917887	1.667054696	1.872456636	2.090123706
316	stok	bsub	0.322592036	0.411798239	0.513269573	0.627006038	0.753007633	0.89127436	1.041806218	1.204603207	1.379665327	1.566992578	1.766584959
316	stok	cjej	0.314080607	0.402087676	0.502359877	0.614897208	0.73969967	0.876767264	1.026099988	1.187697844	1.36156083	1.547688948	1.746082196
316	stok	pyro	0.415800625	0.357279224	0.311022954	0.277031815	0.255305807	0.24584493	0.248649184	0.263718569	0.291053085	0.330652732	0.38251751
316	stok	mpul	0.713170186	0.845959517	0.991013979	1.148333572	1.317918296	1.499768151	1.693883137	1.900263254	2.118908502	2.349818881	2.592994391
316	stok	saur_mu50	0.332177173	0.422714041	0.525516041	0.640583171	0.767915432	0.907512824	1.059375347	1.223503002	1.399895787	1.588553703	1.78947675
316	stok	dra	0.473404701	0.581608509	0.702077448	0.834811518	0.979810719	1.137075051	1.306604514	1.488399108	1.682458833	1.888783689	2.107373676
316	stok	paero	0.006918925	0.025331555	0.056009317	0.098952209	0.154160232	0.221633387	0.301371672	0.393375089	0.497643636	0.614177314	0.742976124
316	stok	hpyl99	0.345067559	0.437362571	0.541922715	0.65874799	0.787838395	0.929193932	1.082814599	1.248700398	1.426851328	1.617267388	1.81994858
316	stok	mjan	0.06291249	0.052082497	0.053517634	0.067217903	0.093183303	0.131413834	0.181909496	0.244670289	0.319696213	0.406987268	0.506543454
316	stok	cpneuJ	0.53005354	0.644557731	0.771327053	0.910361506	1.061661089	1.225225804	1.40105565	1.589150627	1.789510735	2.002135974	2.227026343
316	stok	tacid	0.034388123	0.048814763	0.075506535	0.114463438	0.165685471	0.229172636	0.304924931	0.392942358	0.493224916	0.605772604	0.730585424
316	stok	hpyl	0.341942001	0.433813919	0.537950968	0.654353148	0.783020459	0.923952901	1.077150474	1.242613178	1.420341013	1.610333979	1.812592076
316	stok	pabyssi	0.37869339	0.322120122	0.277811985	0.245768979	0.225991104	0.218478359	0.223230746	0.240248264	0.269530913	0.311078693	0.364891603
316	stok	aquae	0.479645026	0.588561299	0.709742703	0.843189238	0.988900904	1.146877701	1.317119629	1.499626688	1.694398878	1.901436199	2.120738651
316	stok	tvol	0.038193218	0.05594981	0.085971534	0.128258388	0.182810373	0.24962749	0.328709737	0.420057116	0.523669625	0.639547266	0.767690037
316	stok	smel	0.365119581	0.460082501	0.567310552	0.686803734	0.818562047	0.962585491	1.118874066	1.287427772	1.468246609	1.661330577	1.866679676
316	stok	cpneuA	0.539345361	0.654849195	0.78261816	0.922652256	1.074951483	1.239515841	1.41634533	1.60543995	1.806799701	2.020424583	2.246314596
316	stok	mpneu	0.651976386	0.778956387	0.918201519	1.069711782	1.233487176	1.409527701	1.597833357	1.798404144	2.011240062	2.236341111	2.473707291
316	stok	atum_D	0.372717882	0.468671676	0.576890602	0.697374658	0.830123845	0.975138164	1.132417613	1.301962194	1.483771905	1.677846748	1.884186721
316	stok	cglu	0.436354535	0.540224363	0.656359323	0.784759414	0.925424635	1.078354988	1.243550471	1.421011086	1.610736832	1.812727708	2.026983716
